game_ended,height,width,frame_num,score,num_balls,ball_coordinates,paddle_height,paddle_top_coordinate
False,39,75,180,2,1,"[(46, 24)]",9,"(1, 25)"
False,39,75,181,2,1,"[(48, 23)]",9,"(1, 25)"
False,39,75,182,2,1,"[(50, 23)]",9,"(1, 25)"
False,39,75,183,2,1,"[(51, 22)]",9,"(1, 25)"
False,39,75,184,2,1,"[(53, 21)]",9,"(1, 25)"
False,39,75,185,2,1,"[(55, 20)]",9,"(1, 25)"
False,39,75,186,2,1,"[(56, 20)]",9,"(1, 25)"
False,39,75,187,2,1,"[(58, 19)]",9,"(1, 25)"
False,39,75,188,2,1,"[(60, 19)]",9,"(1, 25)"
False,39,75,189,2,1,"[(62, 18)]",9,"(1, 25)"
False,39,75,190,2,1,"[(63, 17)]",9,"(1, 25)"
False,39,75,191,2,1,"[(65, 17)]",9,"(1, 25)"
False,39,75,192,2,1,"[(67, 16)]",9,"(1, 25)"
False,39,75,193,2,1,"[(68, 16)]",9,"(1, 25)"
False,39,75,194,2,1,"[(70, 15)]",9,"(1, 25)"
False,39,75,195,2,1,"[(72, 15)]",9,"(1, 25)"
False,39,75,196,2,1,"[(73, 14)]",9,"(1, 25)"
False,39,75,197,2,1,"[(74, 14)]",9,"(1, 25)"
False,39,75,198,2,1,"[(72, 14)]",9,"(1, 25)"
False,39,75,199,2,1,"[(71, 13)]",9,"(1, 25)"
False,39,75,200,2,1,"[(69, 13)]",9,"(1, 25)"
False,39,75,201,2,1,"[(67, 12)]",9,"(1, 25)"
False,39,75,202,2,1,"[(65, 12)]",9,"(1, 25)"
False,39,75,203,2,1,"[(64, 12)]",9,"(1, 25)"
False,39,75,204,2,1,"[(62, 11)]",9,"(1, 25)"
False,39,75,205,2,1,"[(60, 11)]",9,"(1, 25)"
False,39,75,206,2,1,"[(59, 11)]",9,"(1, 25)"
False,39,75,207,2,1,"[(57, 11)]",9,"(1, 25)"
False,39,75,208,2,1,"[(55, 11)]",9,"(1, 25)"
False,39,75,209,2,1,"[(54, 10)]",9,"(1, 25)"
False,39,75,210,2,1,"[(52, 10)]",9,"(1, 25)"
False,39,75,211,2,1,"[(50, 10)]",9,"(1, 25)"
False,39,75,212,2,1,"[(48, 10)]",9,"(1, 25)"
False,39,75,213,2,1,"[(47, 10)]",9,"(1, 25)"
False,39,75,214,2,1,"[(45, 10)]",9,"(1, 25)"
False,39,75,215,2,1,"[(43, 10)]",9,"(1, 25)"
False,39,75,216,2,1,"[(42, 10)]",9,"(1, 25)"
False,39,75,217,2,1,"[(40, 10)]",9,"(1, 25)"
False,39,75,218,2,1,"[(38, 10)]",9,"(1, 25)"
False,39,75,219,2,1,"[(37, 10)]",9,"(1, 25)"
False,39,75,220,2,1,"[(35, 10)]",9,"(1, 25)"
False,39,75,221,2,1,"[(33, 10)]",9,"(1, 25)"
False,39,75,222,2,1,"[(31, 10)]",9,"(1, 25)"
False,39,75,223,2,1,"[(30, 10)]",9,"(1, 25)"
False,39,75,224,2,1,"[(28, 10)]",9,"(1, 25)"
False,39,75,225,2,1,"[(26, 10)]",9,"(1, 25)"
False,39,75,226,2,1,"[(25, 10)]",9,"(1, 25)"
False,39,75,227,2,1,"[(23, 10)]",9,"(1, 25)"
False,39,75,228,2,1,"[(21, 10)]",9,"(1, 25)"
False,39,75,229,2,1,"[(20, 11)]",9,"(1, 25)"
False,39,75,230,2,1,"[(18, 11)]",9,"(1, 25)"
False,39,75,231,2,1,"[(16, 11)]",9,"(1, 25)"
False,39,75,232,2,1,"[(14, 11)]",9,"(1, 25)"
False,39,75,233,2,1,"[(13, 12)]",9,"(1, 25)"
False,39,75,234,2,1,"[(11, 12)]",9,"(1, 25)"
False,39,75,235,2,1,"[(9, 12)]",9,"(1, 25)"
False,39,75,236,2,1,"[(8, 13)]",9,"(1, 25)"
False,39,75,237,2,1,"[(6, 13)]",9,"(1, 25)"
False,39,75,238,2,1,"[(4, 13)]",9,"(1, 25)"
False,39,75,239,2,1,"[(3, 14)]",9,"(1, 25)"
False,39,75,240,2,1,"[(1, 14)]",9,"(1, 25)"
False,39,75,241,2,1,"[(2, 15)]",9,"(1, 25)"
True,39,75,242,2,4,PASS,PASS,PASS
